Feature,Data_Type,Unique_Values,Missing_Rate,Constant_Rate,Full_Sample_AUC,Mean_Period_AUC,Median_Period_AUC,Std_Period_AUC,Min_Period_AUC,Max_Period_AUC,Periods_AUC_GE_0.55,Stability_Score,Target_Correlation,Leakage_Name_Flag,Classification
Volatility_Expansion,float64,1863,0.0,0.0005367686527106817,0.5136011064369272,0.5225586437435874,0.5208513085993673,0.017139468882564863,0.5060996762257169,0.5535714285714286,1,0.24166484053306736,0.01534111526828307,False,REVIEW
Rolling_Low_50,float64,278,0.0,0.028985507246376812,0.5174183138362243,0.5363084887965848,0.5386216466234968,0.007396938981136684,0.525913143514524,0.5446891191709844,0,0.24153548569577082,-0.03084908928798636,False,REVIEW
MACD_Histogram,float64,1863,0.0,0.0005367686527106817,0.5055079813288769,0.5217054501802993,0.5210742368177613,0.018487237939867333,0.5030198446937015,0.5541841736694678,1,0.237578181751264,-0.0027438882304913112,False,REVIEW
MACD_Distance,float64,1863,0.0,0.0005367686527106817,0.5055079813288769,0.5217054501802993,0.5210742368177613,0.018487237939867333,0.5030198446937015,0.5541841736694678,1,0.237578181751264,-0.0027438882304913047,False,REVIEW
SMA_100,float64,1863,0.0,0.0005367686527106817,0.522611652163891,0.5349002529105702,0.5348060471112153,0.0075357904887157654,0.5248612395929695,0.5459124928036845,0,0.23583311639792276,-0.03688842185057258,False,REVIEW
ZScore_60,float64,1863,0.0,0.0005367686527106817,0.5052475076355674,0.534619136368195,0.5299953314659196,0.008788704330146844,0.5252841907887027,0.54853195164076,0,0.23408219330770685,-0.007691786292300142,False,REVIEW
EMA_200,float64,1863,0.0,0.0005367686527106817,0.52931481588198,0.5326096445982488,0.5314660728934724,0.006807149776165436,0.5242252543940795,0.5447035118019574,0,0.22703500350491232,-0.04604507475006913,False,REVIEW
Price_vs_EMA50,float64,1863,0.0,0.0005367686527106817,0.5043174090935285,0.532193784598481,0.539857609710551,0.014642447229141464,0.5061525840853158,0.5467184801381693,0,0.22145391477935322,-0.007939361037755617,False,REVIEW
News_Count,int64,11,0.0,0.9162640901771336,0.5045196795943063,0.5317027751769724,0.5317027751769724,0.011394611439692226,0.5203081637372802,0.5430973866166646,0,0.22111379498804348,0.013514572182248713,False,REVIEW
RSI_14,float64,1863,0.0,0.0005367686527106817,0.5066766553333717,0.5314046788649021,0.5271210813920046,0.011443926396439846,0.5159574468085106,0.5481577432354634,0,0.2198967522613886,0.008360392002205487,False,REVIEW
RSI_Distance_50,float64,1863,0.0,0.0005367686527106817,0.5066766553333717,0.5314046788649021,0.5271210813920046,0.011443926396439846,0.5159574468085106,0.5481577432354634,0,0.2198967522613886,0.008360392002205477,False,REVIEW
Has_News,int64,2,0.0,0.9162640901771336,0.5047836109030138,0.5299145245866486,0.5299145245866486,0.009447364549645787,0.5204671600370028,0.5393618891362943,0,0.21493441607177136,-0.01726947235770341,False,REVIEW
MACD,float64,1863,0.0,0.0005367686527106817,0.5013334870051289,0.5290884662735675,0.5317802703480011,0.01241395223182078,0.5090237899917965,0.5443005181347151,0,0.21014688897835984,-0.002898862931878798,False,REVIEW
Rolling_High_50,float64,268,0.0,0.026838432635534086,0.5193217311127759,0.5286813764964072,0.5321838743700926,0.01338626595240032,0.5032387955182073,0.5402705814622912,0,0.2080323730094285,-0.03111146571836515,False,REVIEW
Price_Position_20,float64,1858,0.0,0.0010735373054213634,0.5048049328646343,0.5284226487351207,0.530792218446033,0.011673425798103843,0.5134598792062123,0.5471214738054117,0,0.207853882041431,0.008253704039037406,False,REVIEW
SMA_200,float64,1863,0.0,0.0005367686527106817,0.5291292571889586,0.5253264935995695,0.5246401842256765,0.004292120347542089,0.5201898188093184,0.5313488808156568,0,0.1991599142245069,-0.04705871206879735,False,REVIEW
Trend_50_200,float64,1863,0.0,0.0005367686527106817,0.5197925430761252,0.5253378964767508,0.5221786007265908,0.008040158651394715,0.5177987861811391,0.5403850601295097,0,0.19733150658130522,0.03382368766377244,False,REVIEW
High_Low_Range_Pct,float64,1859,0.0,0.0026838432635534087,0.5303809139630036,0.5249564487669665,0.5264512025901942,0.008035285274370625,0.5134311187805579,0.5378237431149654,0,0.19580815243068023,0.03686716127564843,False,REVIEW
Volatility_10,float64,1863,0.0,0.0005367686527106817,0.5070754336425978,0.5262067209846182,0.5183279370952821,0.018120476356697272,0.5016105838366408,0.5495739962651728,0,0.19576664576012426,0.012241528030465298,False,REVIEW
Breakout_Distance_20,float64,1857,0.0,0.0010735373054213634,0.5053725580591253,0.5259443751684753,0.5192530064754857,0.016251284311604827,0.5055080276573304,0.5498074229691877,0,0.19565185851809885,0.006904481203114823,False,REVIEW
News_Count_MA3,float64,21,0.0,0.8411164787976382,0.5195435947674754,0.5239125019324226,0.5239125019324226,0.005733080861286988,0.5181794210711356,0.5296455827937095,0,0.19278346729904677,-0.002291403105628779,False,REVIEW
News_Count_MA5,float64,25,0.0,0.7987117552334944,0.5269924508730479,0.5223305452423757,0.5223305452423757,0.004033932093424564,0.5182966131489511,0.5263644773358003,0,0.18730521492279056,0.007332441449599476,False,REVIEW
ZScore_20,float64,1863,0.0,0.0005367686527106817,0.5046781536333775,0.5220925054244561,0.5232712765957448,0.004779373333073104,0.5159967186218212,0.5273692810457516,0,0.18598033503128797,0.007690967128454344,False,REVIEW
News_Sentiment_Lag2,float64,115,0.0,0.9388083735909822,0.5030323287039704,0.5215859391947657,0.5215859391947657,0.003200185263220856,0.5183857539315448,0.5247861244579866,0,0.1847436641474524,-0.009307028540956667,False,REVIEW
Return_Skew_60,float64,1863,0.0,0.0005367686527106817,0.5068460784878696,0.5226109288616794,0.5254013828665182,0.01333901253864989,0.5011379551820728,0.5407030527289547,0,0.18377420917739273,0.01059533833125984,False,REVIEW
Upper_Wick,float64,1718,0.0,0.0762211486849168,0.5046055437100213,0.521912087070849,0.5195283290192695,0.01082194078367657,0.504405929038282,0.5340961427748993,0,0.18223737789155753,0.025930148417541442,False,REVIEW
Bullish_Candle,int64,2,0.0,0.5367686527106817,0.511284504120325,0.5218764335936841,0.5148259994247915,0.011010163537696935,0.5137604070305273,0.542717086834734,0,0.18200065260588794,0.0226297295042897,False,REVIEW
Close_vs_SMA20,float64,1863,0.0,0.0005367686527106817,0.5009715899268138,0.5209594069099456,0.5207362668967501,0.008821373940039026,0.5114670868347339,0.5369602763385146,0,0.1794269406697629,-0.009230417535962902,False,REVIEW
Distance_SMA20,float64,1863,0.0,0.0005367686527106817,0.5009715899268138,0.5209594069099456,0.5207362668967501,0.008821373940039026,0.5114670868347339,0.5369602763385146,0,0.1794269406697629,-0.00923041753596305,False,REVIEW
Price_vs_EMA20,float64,1863,0.0,0.0005367686527106817,0.5020976200080678,0.5210125381602684,0.5206984273820536,0.009423511913424677,0.5064192343604108,0.532671272308578,0,0.17933839668436102,-0.010247035706768246,False,REVIEW
High_Volatility_Regime,int64,2,0.0,0.5013419216317767,0.5088664784187173,0.5212695629935946,0.5246113989637305,0.015358446298135204,0.5021387554201335,0.5418417366946778,0,0.1773990288253109,-0.01773258896641429,False,REVIEW
Trend_5_20,float64,1863,0.0,0.0005367686527106817,0.5021183657004552,0.5203891797207136,0.5214752567693745,0.01171788924717642,0.5011426227587015,0.5349453080023028,0,0.17569777425926633,-0.0042798949570395425,False,REVIEW
EMA_5_20,float64,1863,0.0,0.0005367686527106817,0.5017656889298681,0.5203601378037754,0.5271210813920045,0.013250876247861742,0.503968253968254,0.5377086931491076,0,0.17481511309117104,-0.008026032956990222,False,REVIEW
Volatility_5,float64,1863,0.0,0.0005367686527106817,0.5187783092260705,0.5205326250743452,0.5107084500466853,0.015138098595146579,0.5060684498130572,0.5408462867012089,0,0.17456145099980763,0.011083311211898846,False,REVIEW
Volatility_Percentile_60,float64,60,0.0,0.07085346215780998,0.5055448625597878,0.5192445073272199,0.5227638769053782,0.011903774666734469,0.5032081331302004,0.5353495564892623,0,0.17102614197551236,-0.011579294297664263,False,REVIEW
Volume_Ratio_5_20,float64,1863,0.0,0.0005367686527106817,0.5092571889586816,0.5195347688871981,0.5137138188608777,0.014619949085769598,0.5074709949607407,0.5481577432354634,0,0.17082910100590767,0.01109421928243684,False,REVIEW
Vol_Ratio_10_20,float64,1863,0.0,0.0005367686527106817,0.5122353483547514,0.5187001096831306,0.5161058383664079,0.010120577420791145,0.5041628122109159,0.53257939763272,0,0.16974015002212667,0.02761973207170076,False,REVIEW
Volume_Change,float64,1859,0.0,0.0026838432635534087,0.5109975220422982,0.5170383797436087,0.5183991562170398,0.008121252334059548,0.5055795225769342,0.5261043015726179,0,0.16409289280740463,0.01914825498123161,False,REVIEW
Open_Close_Change_Pct,float64,1854,0.0,0.005367686527106817,0.5064098426784994,0.5173269485196608,0.5164947849525372,0.011408799181299245,0.5021588946459412,0.535218253968254,0,0.16360339448799363,0.0043728200353176615,False,REVIEW
Body_Size,float64,1854,0.0,0.005367686527106817,0.5064098426784994,0.5173269485196608,0.5164947849525372,0.011408799181299245,0.5021588946459412,0.535218253968254,0,0.16360339448799363,0.004372820035317593,False,REVIEW
Return_3,float64,1863,0.0,0.0005367686527106817,0.5082902091857315,0.5173296001200978,0.5172294172062905,0.013103596661398834,0.503252734599885,0.5408685648547599,0,0.16276660214969146,-0.014977974387474544,False,REVIEW
Momentum_3,float64,1863,0.0,0.0005367686527106817,0.5082902091857315,0.5173296001200978,0.5172294172062905,0.013103596661398834,0.503252734599885,0.5408685648547599,0,0.16276660214969146,-0.014977974387474544,False,REVIEW
Lower_Wick,float64,1768,0.0,0.04938271604938271,0.5027931769722815,0.5163203559281955,0.5177029360967185,0.005877427247108485,0.5053834033613445,0.522940349232392,0,0.16234271008922785,-0.014287761415682557,False,REVIEW
Open_Close_Change,float64,1442,0.0,0.005367686527106817,0.5062767244856796,0.5169722331659867,0.5187653814602133,0.011536094967355685,0.5008203799654577,0.5346200980392157,0,0.162120885180269,0.004324674787839194,False,REVIEW
High_Low_Range,float64,1197,0.0,0.005904455179817499,0.5187362415720624,0.5166568690204952,0.5115489130434783,0.011698629510148837,0.5004889272361231,0.5318481559290382,0,0.1607781613269069,0.023543826510403654,False,REVIEW
RSI_Oversold,int64,2,0.0,0.8711755233494364,0.5033953783207514,0.5164573452968894,0.5174606845513413,0.010463773182385084,0.5015756302521008,0.5289610922301653,0,0.1605974945963652,-0.010135042445195943,False,REVIEW
Momentum_5,float64,1863,0.0,0.0005367686527106817,0.5042471042471042,0.5161777357250041,0.5205924647684785,0.008582046591728914,0.5056022408963585,0.5265112262521588,0,0.16041991960415192,-0.008832813619702522,False,REVIEW
Return_5,float64,1863,0.0,0.0005367686527106817,0.5042471042471042,0.5161777357250041,0.5205924647684785,0.008582046591728914,0.5056022408963585,0.5265112262521588,0,0.16041991960415192,-0.008832813619702522,False,REVIEW
Momentum_Acceleration_10,float64,1863,0.0,0.0005367686527106817,0.5111116233504294,0.5164740912994049,0.5081991129785247,0.015730806838724548,0.5000287604256543,0.5398160084378296,0,0.15803096177825757,-0.023497889856212175,False,REVIEW
News_Sentiment_Momentum,float64,191,0.0,0.8980139559849705,0.5087834956491673,0.5159299993953388,0.5159299993953388,0.011463648794043657,0.5044663506012951,0.5273936481893824,0,0.1579881731843331,0.008819940640603673,False,REVIEW
News_Neutral,int64,2,0.0,0.9377348362855609,0.5070806200656948,0.514376132960646,0.514376132960646,0.0011187791577629835,0.513257353802883,0.5154949121184089,0,0.15694514226370226,0.029302058132033276,False,REVIEW
News_Sentiment_MA3,float64,155,0.0,0.8706387546967257,0.5045715438252752,0.515733465008191,0.515733465008191,0.01355076255887655,0.5021827024493144,0.5292842275670675,0,0.15615847875332553,0.006696856795900839,False,REVIEW
Near_20D_High,int64,2,0.0,0.8577563070316694,0.5004558289632917,0.5153068993870088,0.5082913395054494,0.011380948066782538,0.505176876617774,0.5323879551820729,0,0.15553712351464366,0.0013049470005364455,False,REVIEW
Volume_Dry,int64,2,0.0,0.7536231884057971,0.5117005705065406,0.5148113874581077,0.5093327581248203,0.008380857363038268,0.5077932731747334,0.5293709528214616,0,0.15505512115091188,-0.027153100217582042,False,REVIEW
MACD_Momentum,float64,1863,0.0,0.0005367686527106817,0.5047069670950268,0.514689325216504,0.518963922294172,0.008309909041291556,0.5032387955182073,0.5247052056370435,0,0.15460234634537046,-0.011842937665714329,False,REVIEW
News_Sentiment_Lag1,float64,116,0.0,0.9382716049382716,0.5046741197487465,0.5134656541499709,0.5134656541499709,0.002361704776948581,0.5111039493730224,0.5158273589269196,0,0.1526817642114096,0.009465778284585856,False,REVIEW
Momentum_10,float64,1863,0.0,0.0005367686527106817,0.5024433815478591,0.5138869323916051,0.5128968253968254,0.006919481600362331,0.5036036563928279,0.5218258556891767,0,0.15208798876623908,-0.01144408217957265,False,REVIEW
Return_10,float64,1863,0.0,0.0005367686527106817,0.5024433815478591,0.5138869323916051,0.5128968253968254,0.006919481600362331,0.5036036563928279,0.5218258556891767,0,0.15208798876623908,-0.01144408217957265,False,REVIEW
News_Sentiment_Lag3,float64,114,0.0,0.9393451422436929,0.5037111738604275,0.5136872009420248,0.5136872009420248,0.005737385955900898,0.5079498149861239,0.5194245868979257,0,0.15188011079014876,-0.022545819020698597,False,REVIEW
Near_50D_Low,int64,2,0.0,0.9098228663446055,0.5090330202270501,0.5146741918295404,0.5014092608570607,0.017220064039337603,0.5005613126079447,0.542247744052502,0,0.15008673529849323,-0.03153521322460498,False,REVIEW
News_Positive,int64,2,0.0,0.9592055823939882,0.5018625021610096,0.5130382420190949,0.5130382420190949,0.00552205330494121,0.5075161887141536,0.518560295324036,0,0.14939194142390866,-0.009415209632315655,False,REVIEW
