Model,Horizon,Target,Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Predicted_Positive_Rate,Number_of_Positive_Predictions,True_Positive,False_Positive,True_Negative,False_Negative
XGBoost,10,Return_AtLeast_1.0pct,0.73,0.5498575498575499,0.5130342595692445,0.43521594684385384,0.30114942528735633,0.35597826086956524,0.2858499525166192,301,131,170,448,304
XGBoost,10,Return_AtLeast_1.0pct,0.74,0.5422602089268755,0.5031581296730275,0.4186851211072664,0.27816091954022987,0.3342541436464088,0.2744539411206078,289,121,168,450,314
XGBoost,10,Return_AtLeast_1.0pct,0.75,0.5460588793922128,0.5050329204329873,0.4223826714801444,0.2689655172413793,0.32865168539325845,0.2630579297245964,277,117,160,458,318
XGBoost,10,Return_AtLeast_1.0pct,0.76,0.5498575498575499,0.506567347394264,0.42585551330798477,0.2574712643678161,0.3209169054441261,0.24976258309591642,263,112,151,467,323
XGBoost,10,Return_AtLeast_1.0pct,0.77,0.5574548907882241,0.5116783841089164,0.43724696356275305,0.2482758620689655,0.31671554252199413,0.2345679012345679,247,108,139,479,327
XGBoost,10,Return_AtLeast_1.0pct,0.78,0.5631528964862298,0.514150206450173,0.44493392070484583,0.23218390804597702,0.30513595166163143,0.21557454890788225,227,101,126,492,334
XGBoost,10,Return_AtLeast_1.0pct,0.79,0.5679012345679012,0.5154726035040732,0.45145631067961167,0.21379310344827587,0.29017160686427457,0.1956315289648623,206,93,113,505,342
XGBoost,10,Return_AtLeast_1.0pct,0.8,0.5698005698005698,0.51606963508537,0.45454545454545453,0.20689655172413793,0.2843601895734597,0.18803418803418803,198,90,108,510,345
XGBoost,10,Return_AtLeast_1.0pct,0.81,0.5802469135802469,0.5242885838634082,0.4808743169398907,0.20229885057471264,0.284789644012945,0.1737891737891738,183,88,95,523,347
XGBoost,10,Return_AtLeast_1.0pct,0.82,0.5811965811965812,0.5223747349626158,0.4819277108433735,0.1839080459770115,0.26622296173044924,0.157644824311491,166,80,86,532,355
XGBoost,10,Return_AtLeast_1.0pct,0.83,0.5821462488129154,0.5211416136591899,0.48366013071895425,0.17011494252873563,0.25170068027210885,0.1452991452991453,153,74,79,539,361
XGBoost,10,Return_AtLeast_1.0pct,0.84,0.5859449192782527,0.5209742216270505,0.49612403100775193,0.1471264367816092,0.22695035460992907,0.1225071225071225,129,64,65,553,371
XGBoost,10,Return_AtLeast_1.0pct,0.85,0.5887939221272555,0.5220399508983372,0.5084745762711864,0.13793103448275862,0.21699819168173598,0.1120607787274454,118,60,58,560,375
XGBoost,10,Return_AtLeast_1.0pct,0.86,0.5830959164292497,0.5127608525834171,0.47959183673469385,0.10804597701149425,0.17636022514071295,0.09306742640075974,98,47,51,567,388
XGBoost,10,Return_AtLeast_1.0pct,0.87,0.584045584045584,0.5125488226760406,0.4835164835164835,0.10114942528735632,0.16730038022813687,0.08641975308641975,91,44,47,571,391
XGBoost,10,Return_AtLeast_1.0pct,0.88,0.5868945868945868,0.5122530967525946,0.5,0.08275862068965517,0.14201183431952663,0.06837606837606838,72,36,36,582,399
XGBoost,10,Return_AtLeast_1.0pct,0.89,0.5878442545109211,0.5103392478518023,0.509090909090909,0.06436781609195402,0.11428571428571428,0.052231718898385564,55,28,27,591,407
XGBoost,10,Return_AtLeast_1.0pct,0.9,0.5897435897435898,0.5088940966409998,0.5428571428571428,0.04367816091954023,0.08085106382978724,0.03323836657169991,35,19,16,602,416
