Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Predicted_Positive_Rate,Number_of_Positive_Predictions
0.46,0.450402144772118,0.5081345959005533,0.2488986784140969,0.6208791208791209,0.3553459119496855,0.6085790884718498,454
0.47,0.4544235924932976,0.5014905307458499,0.24489795918367346,0.5934065934065934,0.3467094703049759,0.5911528150134048,441
0.48,0.4597855227882037,0.49759371833839916,0.24242424242424243,0.5714285714285714,0.3404255319148936,0.5750670241286864,429
0.49,0.46380697050938335,0.4909496531836957,0.23798076923076922,0.5439560439560439,0.3311036789297659,0.5576407506702413,416
0.5,0.4691689008042895,0.48519211285168734,0.23383084577114427,0.5164835164835165,0.3219178082191781,0.5388739946380697,402
0.51,0.4812332439678284,0.4857279245577118,0.23376623376623376,0.4945054945054945,0.31746031746031744,0.5160857908847185,385
0.52,0.48927613941018766,0.47988270594653576,0.22888283378746593,0.46153846153846156,0.30601092896174864,0.49195710455764075,367
0.53,0.5067024128686327,0.485825344867898,0.23275862068965517,0.44505494505494503,0.30566037735849055,0.46648793565683644,348
0.54,0.5201072386058981,0.490969137245733,0.23652694610778444,0.4340659340659341,0.3062015503875969,0.4477211796246649,334
0.55,0.5375335120643432,0.4987725040916531,0.24290220820189273,0.4230769230769231,0.30861723446893785,0.4249329758713137,317
0.56,0.5388739946380697,0.49221611721611724,0.237012987012987,0.4010989010989011,0.2979591836734694,0.4128686327077748,308
0.57,0.5442359249329759,0.4864585768841088,0.23129251700680273,0.37362637362637363,0.2857142857142857,0.3941018766756032,294
0.58,0.5509383378016086,0.4797268334502377,0.22382671480144403,0.34065934065934067,0.2701525054466231,0.37131367292225204,277
0.59,0.5549597855227882,0.47122204037097654,0.21374045801526717,0.3076923076923077,0.25225225225225223,0.3512064343163539,262
0.6,0.564343163538874,0.4737062582807263,0.2151394422310757,0.2967032967032967,0.24942263279445728,0.33646112600536193,251
0.61,0.5710455764075067,0.46511378692229755,0.2025862068965517,0.25824175824175827,0.22705314009661837,0.3109919571045576,232
0.62,0.5831099195710456,0.47123178240199515,0.2081447963800905,0.25274725274725274,0.228287841191067,0.29624664879356566,221
0.63,0.5951742627345844,0.4773497778816928,0.21428571428571427,0.24725274725274726,0.22959183673469388,0.28150134048257375,210
0.64,0.6085790884718498,0.48435429818408543,0.2222222222222222,0.24175824175824176,0.23157894736842105,0.26541554959785524,198
0.65,0.6206434316353887,0.490472293663783,0.22994652406417113,0.23626373626373626,0.23306233062330622,0.25067024128686327,187
0.66,0.6206434316353887,0.4848901098901099,0.22099447513812154,0.21978021978021978,0.22038567493112948,0.24262734584450402,181
0.67,0.628686327077748,0.4883485309017224,0.2254335260115607,0.21428571428571427,0.21971830985915494,0.23190348525469168,173
0.68,0.6367292225201072,0.4936676798378926,0.23353293413173654,0.21428571428571427,0.22349570200573066,0.22386058981233245,167
0.69,0.6501340482573726,0.5006722001402852,0.24516129032258063,0.2087912087912088,0.22551928783382788,0.20777479892761394,155
0.7,0.6581769436997319,0.5022698932273401,0.2482758620689655,0.1978021978021978,0.22018348623853212,0.19436997319034852,145
0.71,0.6689008042895442,0.5075013638843426,0.25925925925925924,0.19230769230769232,0.22082018927444794,0.18096514745308312,135
0.72,0.6715817694369973,0.5055529576806173,0.2558139534883721,0.1813186813186813,0.21221864951768488,0.17292225201072386,129
0.73,0.6796246648793566,0.5090113786922298,0.2644628099173554,0.17582417582417584,0.21122112211221122,0.16219839142091153,121
0.74,0.6809651474530831,0.5061764476658094,0.25862068965517243,0.16483516483516483,0.20134228187919462,0.1554959785522788,116
0.75,0.6836461126005362,0.504228041462084,0.2545454545454545,0.15384615384615385,0.1917808219178082,0.14745308310991956,110
0.76,0.6970509383378016,0.5130932896890343,0.28,0.15384615384615385,0.19858156028368795,0.13404825737265416,100
0.77,0.7010723860589813,0.5138921362325618,0.28421052631578947,0.14835164835164835,0.19494584837545126,0.12734584450402145,95
0.78,0.7024128686327078,0.5110572052061414,0.2777777777777778,0.13736263736263737,0.18382352941176472,0.12064343163538874,90
0.79,0.707774798927614,0.5108818486478062,0.2804878048780488,0.12637362637362637,0.17424242424242425,0.10991957104557641,82
0.8,0.710455764075067,0.5107941703686384,0.28205128205128205,0.12087912087912088,0.16923076923076924,0.10455764075067024,78
0.81,0.7158176943699732,0.5124795417348609,0.2916666666666667,0.11538461538461539,0.16535433070866143,0.09651474530831099,72
