Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Position_Size,Entry_Regime,Exit_Regime,Gross_Return,Net_Return,PnL
Exclude_Strong_Downtrend_Bad_Regimes,2023-09-25,2023-10-18,3578.9384772949215,3487.25,1.0,Strong_Uptrend_LowVol,Weak_Downtrend,-0.02561890288883162,-0.02711890288883162,-2643.451167326637
Exclude_Strong_Downtrend_Bad_Regimes,2023-11-29,2023-12-06,3515.5068749999996,3604.10009765625,1.0,Weak_Uptrend,Strong_Uptrend_LowVol,0.025200696743410633,0.023700696743410632,2247.6053375607057
Exclude_Strong_Downtrend_Bad_Regimes,2023-12-15,2023-12-19,3862.9305,3816.199951171875,1.0,Strong_Uptrend_HighVol,Strong_Uptrend_HighVol,-0.012097175661877624,-0.013597175661877623,-1320.0204167070465
Exclude_Strong_Downtrend_Bad_Regimes,2024-03-27,2024-04-01,3842.8203522949216,3916.75,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_HighVol,0.019238382471074456,0.017738382471074454,1698.635757894792
Exclude_Strong_Downtrend_Bad_Regimes,2024-04-18,2024-04-19,3863.9309999999996,3826.199951171875,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,-0.009764938563376124,-0.011264938563376124,-1097.8707850940175
Exclude_Strong_Downtrend_Bad_Regimes,2024-11-07,2024-11-11,4152.975352294921,4198.7001953125,1.0,Strong_Downtrend_HighVol,Weak_Downtrend,0.011010140715694616,0.009510140715694617,916.408858785928
Exclude_Strong_Downtrend_Bad_Regimes,2024-11-18,2024-11-25,4021.5097499999997,4315.10009765625,1.0,Strong_Downtrend_HighVol,Strong_Uptrend_HighVol,0.0730050070514563,0.07150500705145629,6955.83826719703
Exclude_Strong_Downtrend_Bad_Regimes,2025-02-01,2025-02-06,4075.1864772949216,4082.75,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,0.001855994258721294,0.00035599425872129406,37.106519496346245
Exclude_Strong_Downtrend_Bad_Regimes,2025-03-20,2025-03-27,3564.9314772949215,3651.199951171875,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,0.024199195531919182,0.02269919553191918,2366.858371046864
Exclude_Strong_Downtrend_Bad_Regimes,2025-04-03,2025-04-23,3404.8514772949216,3413.0,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_HighVol,0.0023932094422962624,0.0008932094422962624,95.24957029448933
Exclude_Strong_Downtrend_Bad_Regimes,2025-09-16,2025-09-22,3147.2728011474605,3073.800048828125,1.0,Weak_Uptrend,Weak_Downtrend,-0.023344894758582146,-0.024844894758582148,-2651.7624948651883
Exclude_Strong_Downtrend_Bad_Regimes,2025-10-06,2025-10-08,2989.8941022949216,3027.199951171875,1.0,Strong_Downtrend_HighVol,Weak_Downtrend,0.012477314446795562,0.010977314446795563,1142.5290888061481
Exclude_Strong_Downtrend_Bad_Regimes,2025-10-09,2025-10-10,3063.2308011474606,3028.300048828125,1.0,Weak_Uptrend,Weak_Downtrend,-0.011403238798150861,-0.01290323879815086,-1357.7234107173276
Exclude_Strong_Downtrend_Bad_Regimes,2025-10-13,2025-10-20,3008.703551147461,3015.199951171875,1.0,Strong_Downtrend_HighVol,Weak_Downtrend,0.0021592024318701775,0.0006592024318701774,68.46854508345875
Exclude_Strong_Downtrend_Bad_Regimes,2025-10-23,2025-10-30,3074.736551147461,3035.300048828125,1.0,Weak_Uptrend,Weak_Downtrend,-0.012825977661279131,-0.01432597766127913,-1488.9590778705856
Exclude_Strong_Downtrend_Bad_Regimes,2025-10-31,2025-11-03,3059.529,3016.800048828125,1.0,Weak_Uptrend,Weak_Downtrend,-0.013965859180244733,-0.015465859180244733,-1584.4037242279676
Exclude_Strong_Downtrend_Bad_Regimes,2025-11-11,2026-01-19,3048.5235,3163.60009765625,1.0,Weak_Uptrend,Weak_Downtrend,0.03774830591145206,0.03624830591145206,3656.034608829305
Exclude_Strong_Downtrend_Bad_Regimes,2026-02-03,2026-02-05,3226.912698852539,2991.5,1.0,Weak_Uptrend,Strong_Downtrend_HighVol,-0.07295291841525486,-0.07445291841525487,-7781.586391719627
Exclude_Strong_Downtrend_Bad_Regimes,2026-02-23,2026-03-13,2677.638198852539,2410.5,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,-0.09976635341063522,-0.10126635341063522,-9796.02995657435
Exclude_Strong_Downtrend_Bad_Regimes,2026-03-23,2026-03-27,2384.991948852539,2389.800048828125,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,0.0020159816379672346,0.0005159816379672346,44.85906125135958
Exclude_Strong_Downtrend_Bad_Regimes,2026-04-01,2026-04-16,2409.404051147461,2576.89990234375,1.0,Strong_Downtrend_HighVol,Weak_Downtrend,0.06951754360856177,0.06801754360856177,5916.446042017848
Exclude_Strong_Downtrend_Bad_Regimes,2026-04-24,2026-04-30,2398.098352294922,2473.89990234375,1.0,Strong_Downtrend_HighVol,Weak_Downtrend,0.03160902469921134,0.03010902469921134,2797.1453785072276
Exclude_Strong_Downtrend_Bad_Regimes,2026-05-07,2026-05-08,2402.600602294922,2394.39990234375,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_HighVol,-0.00341325975833795,-0.004913259758337949,-470.1877048560602
Best_Regime_Confidence_Sizing,2024-03-27,2024-04-01,3842.8203522949216,3916.75,0.03837958971659357,Strong_Downtrend_HighVol,Strong_Downtrend_HighVol,0.019238382471074456,0.017738382471074454,68.07918414758528
Best_Regime_Confidence_Sizing,2024-04-18,2024-04-19,3863.9309999999996,3826.199951171875,0.07303790251413995,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,-0.009764938563376124,-0.011264938563376124,-82.33276180106019
Best_Regime_Confidence_Sizing,2024-11-07,2024-11-11,4152.975352294921,4198.7001953125,0.003269871075948227,Strong_Downtrend_HighVol,Weak_Downtrend,0.011010140715694616,0.009510140715694617,3.1092501628804095
Best_Regime_Confidence_Sizing,2024-11-18,2024-11-22,4021.5097499999997,4244.60009765625,0.01558895905812596,Strong_Downtrend_HighVol,Weak_Uptrend,0.055474277454194976,0.053974277454194974,84.13090327416705
Best_Regime_Confidence_Sizing,2025-02-01,2025-02-06,4075.1864772949216,4082.75,0.06053225199381524,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,0.001855994258721294,0.00035599425872129406,2.1564862152415825
Best_Regime_Confidence_Sizing,2025-03-20,2025-03-27,3564.9314772949215,3651.199951171875,0.33787147204081225,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,0.024199195531919182,0.02269919553191918,767.517363848026
Best_Regime_Confidence_Sizing,2025-04-03,2025-04-23,3404.8514772949216,3413.0,0.5667358239491781,Strong_Downtrend_HighVol,Strong_Downtrend_HighVol,0.0023932094422962624,0.0008932094422962624,51.04794525110545
Best_Regime_Confidence_Sizing,2025-10-06,2025-10-08,2989.8941022949216,3027.199951171875,0.8937457799911499,Strong_Downtrend_HighVol,Weak_Downtrend,0.012477314446795562,0.010977314446795563,989.8609551410848
Best_Regime_Confidence_Sizing,2025-10-13,2025-10-20,3008.703551147461,3015.199951171875,0.9156045913696292,Strong_Downtrend_HighVol,Weak_Downtrend,0.0021592024318701775,0.0006592024318701774,61.49374095382867
Best_Regime_Confidence_Sizing,2026-02-23,2026-03-13,2677.638198852539,2410.5,0.036042888959249,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,-0.09976635341063522,-0.10126635341063522,-372.09254092607455
Best_Regime_Confidence_Sizing,2026-03-23,2026-03-27,2384.991948852539,2389.800048828125,0.037607113520304505,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,0.0020159816379672346,0.0005159816379672346,1.9709808358098098
Best_Regime_Confidence_Sizing,2026-04-01,2026-04-16,2409.404051147461,2576.89990234375,0.10030364990234389,Strong_Downtrend_HighVol,Weak_Downtrend,0.06951754360856177,0.06801754360856177,692.9856814837501
Best_Regime_Confidence_Sizing,2026-04-24,2026-04-30,2398.098352294922,2473.89990234375,0.16770100593566906,Strong_Downtrend_HighVol,Weak_Downtrend,0.03160902469921134,0.03010902469921134,516.3828488714796
Best_Regime_Confidence_Sizing,2026-05-07,2026-05-08,2402.600602294922,2394.39990234375,0.7859285275141402,Strong_Downtrend_HighVol,Strong_Downtrend_HighVol,-0.00341325975833795,-0.004913259758337949,-396.8986332011044
