Date,Equity,Position,Probability,Running_Max,Drawdown,Model,Threshold
2024-09-03,107686.61416296035,0,0.3106915652751922,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-04,107686.61416296035,0,0.327718049287796,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-05,107686.61416296035,0,0.327718049287796,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-06,107686.61416296035,0,0.3231621384620666,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-09,107686.61416296035,0,0.357803463935852,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-10,107686.61416296035,0,0.3259206712245941,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-11,107686.61416296035,0,0.3258581459522247,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-12,107686.61416296035,0,0.3316980302333832,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-13,107686.61416296035,0,0.3316980302333832,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-16,107686.61416296035,0,0.3296115696430206,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-17,107686.61416296035,0,0.3421419560909271,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-18,107686.61416296035,0,0.236836165189743,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-19,107686.61416296035,0,0.1933979839086532,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-20,107686.61416296035,0,0.1933979839086532,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-23,107686.61416296035,0,0.2365657389163971,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-24,107686.61416296035,0,0.2511974573135376,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-25,107686.61416296035,0,0.2854065299034118,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-26,107686.61416296035,0,0.3754554092884063,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-27,107686.61416296035,0,0.3710492253303528,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-09-30,107686.61416296035,0,0.3588312566280365,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-10-01,107686.61416296035,0,0.384001225233078,112290.59491832886,-0.04100059099978115,XGBoost,0.5
2024-10-03,108021.18936868482,1,0.6041865348815918,112290.59491832886,-0.038021043104716545,XGBoost,0.5
2024-10-04,108544.49986311464,1,0.58246910572052,112290.59491832886,-0.03336071963942144,XGBoost,0.5
2024-10-07,108381.68311331997,0,0.3540689051151275,112290.59491832886,-0.03481067855996234,XGBoost,0.5
2024-10-08,108211.47093976114,1,0.58246910572052,112290.59491832886,-0.03632649717044012,XGBoost,0.5
2024-10-09,108049.15373335152,0,0.2640060484409332,112290.59491832886,-0.03777200742468445,XGBoost,0.5
2024-10-10,108049.15373335152,0,0.4729017913341522,112290.59491832886,-0.03777200742468445,XGBoost,0.5
2024-10-11,107560.25833338228,1,0.7608885765075684,112290.59491832886,-0.042125848459410586,XGBoost,0.5
2024-10-14,107044.12047249166,1,0.7580382823944092,112290.59491832886,-0.04672229628539293,XGBoost,0.5
2024-10-15,106475.98540083485,1,0.7607991695404053,112290.59491832886,-0.05178180346914263,XGBoost,0.5
2024-10-16,106841.31167142243,1,0.7894052863121033,112290.59491832886,-0.04852840303205985,XGBoost,0.5
2024-10-17,107206.63159391934,1,0.7607991695404053,112290.59491832886,-0.045275059127678374,XGBoost,0.5
2024-10-18,106083.36234031995,1,0.7467433214187622,112290.59491832886,-0.0552782945225605,XGBoost,0.5
2024-10-21,104410.14529486414,1,0.7944980263710022,112290.59491832886,-0.07017907091147146,XGBoost,0.5
2024-10-22,105729.735600857,1,0.8129313588142395,112290.59491832886,-0.05842750519082829,XGBoost,0.5
2024-10-23,105252.60040910903,1,0.7620764970779419,112290.59491832886,-0.06267661609895914,XGBoost,0.5
2024-10-24,105503.52138944781,1,0.7775447964668274,112290.59491832886,-0.06044204800782671,XGBoost,0.5
2024-10-25,106369.3819140327,1,0.7742302417755127,112290.59491832886,-0.05273115712498255,XGBoost,0.5
2024-10-28,105963.75161571291,1,0.7284544706344604,112290.59491832886,-0.05634348368371889,XGBoost,0.5
2024-10-29,106208.16580310388,1,0.7427082061767578,112290.59491832886,-0.05416686161159667,XGBoost,0.5
2024-10-30,103186.76030313835,1,0.7393041253089905,112290.59491832886,-0.08107388354128775,XGBoost,0.5
2024-10-31,103596.28832913612,1,0.9053999185562134,112290.59491832886,-0.07742684590384685,XGBoost,0.5
2024-11-01,103074.95138197794,1,0.9119563698768616,112290.59491832886,-0.08206959401233593,XGBoost,0.5
2024-11-04,103262.16927233519,1,0.8962885141372681,112290.59491832886,-0.08040233158048737,XGBoost,0.5
2024-11-05,107638.26367166756,1,0.8987098336219788,112290.59491832886,-0.0414311746237076,XGBoost,0.5
2024-11-06,107930.78369023741,1,0.6782045960426331,112290.59491832886,-0.03882614773982118,XGBoost,0.5
2024-11-07,107829.3792897028,1,0.7009809613227844,112290.59491832886,-0.03972920111315459,XGBoost,0.5
2024-11-08,109173.67636462524,1,0.7009809613227844,112290.59491832886,-0.027757610118377407,XGBoost,0.5
2024-11-11,109139.86643365945,1,0.5726436972618103,112290.59491832886,-0.028058703286423903,XGBoost,0.5
2024-11-12,107916.48779002432,1,0.5741950869560242,112290.59491832886,-0.03895345938353889,XGBoost,0.5
2024-11-13,107800.77479309525,1,0.593315601348877,112290.59491832886,-0.03998393746599305,XGBoost,0.5
2024-11-14,104514.15241257787,1,0.6569667458534241,112290.59491832886,-0.06925283913053404,XGBoost,0.5
2024-11-18,105035.48935973605,1,0.7046766877174377,112290.59491832886,-0.06461009102204496,XGBoost,0.5
2024-11-19,105901.34988432094,1,0.6871570348739624,112290.59491832886,-0.0568992001392008,XGBoost,0.5
2024-11-21,110367.15550115393,1,0.6869116425514221,112290.59491832886,-0.017129123045201422,XGBoost,0.5
2024-11-22,112200.28095085832,1,0.5649750232696533,112290.59491832886,-0.0008042879061798125,XGBoost,0.5
2024-11-25,112031.98052943204,0,0.4009934365749359,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-11-26,112031.98052943204,0,0.3805783689022064,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-11-27,112031.98052943204,0,0.3841496407985687,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-11-28,112031.98052943204,0,0.2898951768875122,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
2024-11-29,112031.98052943204,0,0.4073731303215027,112290.59491832886,-0.0023030814743204564,XGBoost,0.5
