Regime_Filter,Threshold,Holding_Period,Total_Return,CAGR,Sharpe,Sortino,Max_Drawdown,Win_Rate,Profit_Factor,Trades,Exposure,Buy_Hold_Return,Excess_Return
Only_Best_Regime,0.8,10,-0.10343487707594934,-0.03295693946051048,-0.5979463018360929,-0.23287545352484912,-0.12531063557494848,0.3333333333333333,0.3151441711009115,6,0.07875,-0.3124085033541204,0.20897362627817107
Only_Best_Regime,0.8,15,-0.10431516110980088,-0.03324846585532437,-0.582537853767925,-0.24997288867653725,-0.1283404502534672,0.4,0.33479915436722424,5,0.09,-0.3124085033541204,0.20809334224431952
Only_Best_Regime,0.8,20,-0.07154701995160151,-0.022527695218684474,-0.37371874891960805,-0.16039875859930985,-0.12582150972572748,0.25,0.2341376746985017,4,0.08875,-0.3124085033541204,0.2408614834025189
Exclude_Best_Regime,0.6,5,-0.39979478609440666,-0.14502595318144107,-1.1812043538501378,-1.019320302866538,-0.46880381525570114,0.3492063492063492,0.47950445219173593,63,0.47125,-0.3124085033541204,-0.08738628274028626
Exclude_Best_Regime,0.6,10,-0.407270311631172,-0.14830858214566278,-1.0619878249857977,-1.0746492601596125,-0.4700560225926834,0.475,0.44386444534167613,40,0.5475,-0.3124085033541204,-0.0948618082770516
Exclude_Best_Regime,0.6,15,-0.23322780686189437,-0.07827721270503107,-0.4621949141253026,-0.5138537307355938,-0.4002321954767629,0.4482758620689655,0.6718380508869497,29,0.5775,-0.3124085033541204,0.07918069649222603
Exclude_Best_Regime,0.6,20,-0.2528058527903041,-0.08556554534820882,-0.48856062288271807,-0.5466877164839928,-0.42164828670249954,0.43478260869565216,0.6479212157314458,23,0.60125,-0.3124085033541204,0.059602650563816306
Exclude_Best_Regime,0.65,5,-0.23702147724001976,-0.07967932523688837,-0.6441827668544983,-0.5646010745635205,-0.3374979973271537,0.3793103448275862,0.6887709402514784,58,0.435,-0.3124085033541204,0.07538702611410064
Exclude_Best_Regime,0.65,10,-0.4134073495325292,-0.15102497286183703,-1.1168356289658756,-1.072318374732782,-0.4916040185051648,0.4473684210526316,0.40588364631288054,38,0.52125,-0.3124085033541204,-0.10099884617840882
Exclude_Best_Regime,0.65,15,-0.13846628139805006,-0.044715037857587014,-0.24084537321610414,-0.24920659873700166,-0.33868598895858315,0.5555555555555556,0.7820669353238956,27,0.5375,-0.3124085033541204,0.17394222195607034
Exclude_Best_Regime,0.65,20,-0.179952616130856,-0.05907642669534752,-0.3217542377797195,-0.3419272707448842,-0.38389137847180377,0.5,0.7396697376250081,22,0.575,-0.3124085033541204,0.1324558872232644
Exclude_Best_Regime,0.7,5,-0.24800039698441867,-0.0837644716025846,-0.7279197662835346,-0.5940595663127354,-0.32743320559660627,0.40384615384615385,0.681922960532431,52,0.3875,-0.3124085033541204,0.06440810636970173
Exclude_Best_Regime,0.7,10,-0.27749305078151254,-0.09494704146048683,-0.7327397392443867,-0.6765910659746761,-0.39231909585308045,0.5454545454545454,0.5547690244070722,33,0.45125,-0.3124085033541204,0.034915452572607864
Exclude_Best_Regime,0.7,15,-0.20399754500848966,-0.06763194713134013,-0.42553495327729973,-0.41962383177682877,-0.34684498209649606,0.52,0.6238690697517,25,0.4975,-0.3124085033541204,0.10841095834563075
Exclude_Best_Regime,0.7,20,-0.06907079651380454,-0.021728272153957118,-0.08287209862957695,-0.08662520793209808,-0.3284710595189718,0.55,0.9245437036555503,20,0.5225,-0.3124085033541204,0.24333770684031586
