Model,Fold,Date,Actual,Probability,Prediction,Close,Return_1D,Trend_Return_20D,Trend_Return_60D,Volatility_20D,Volatility_Median,Forward_Return_10D,Signal,Regime
XGBoost,4,2024-08-12,1,0.3264108598232269,0,4195.64990234375,-0.00782739524830034,0.002796330378014078,0.08124162661935697,0.21018155543973482,0.17629160569353075,0.07186014253276429,0,Weak_Uptrend
XGBoost,4,2024-08-13,1,0.3388810753822326,0,4196.9501953125,0.0003099145541252124,0.006655952868658055,0.0758790160975289,0.2097147587205109,0.17650001730351278,0.07364862459417032,0,Weak_Uptrend
XGBoost,4,2024-08-14,1,0.242540031671524,0,4295.25,0.023421722944744428,0.027952901010649622,0.12027591627710676,0.22507652474204468,0.17650871150337205,0.05041611191141371,0,Weak_Uptrend
XGBoost,4,2024-08-16,1,0.2669140696525574,0,4416.0498046875,0.02812404509341704,0.023287878613018842,0.15597347288925123,0.21688751830962483,0.17651740570323132,0.031181757770561314,0,Weak_Uptrend
XGBoost,4,2024-08-19,1,0.2460161000490188,0,4490.0,0.01674577927857701,0.043603593788214434,0.1717118997912317,0.22299144745952446,0.17658883053211874,0.006915323983853083,0,Weak_Uptrend
XGBoost,4,2024-08-20,0,0.2275067567825317,0,4523.2998046875,0.007416437569599088,0.05503392577159394,0.161771657890722,0.22263811368793665,0.17666025536100616,-0.002420734309917516,0,Strong_Uptrend_HighVol
XGBoost,4,2024-08-21,0,0.2480917125940323,0,4551.5,0.006234429847713496,0.05791018784814295,0.1823613456293025,0.2229674458044925,0.17681111076163247,-0.01587388772931997,0,Strong_Uptrend_HighVol
XGBoost,4,2024-08-22,0,0.2242989689111709,0,4502.0,-0.010875535537734793,0.04545718432510881,0.17024731751836275,0.22823360424164602,0.17696196616225876,-0.005786273808862763,0,Weak_Uptrend
XGBoost,4,2024-08-23,0,0.2429498732089996,0,4463.89990234375,-0.008462927067136805,0.03271252801474844,0.16250423601384267,0.23131485121059733,0.1770793072396081,-0.0016017165483472873,0,Weak_Uptrend
XGBoost,4,2024-08-26,0,0.2439489513635635,0,4502.4501953125,0.00863601196534658,0.02611759634119304,0.18371835234840095,0.22744371396011673,0.17719664831695744,-0.011749245039972767,0,Weak_Uptrend
XGBoost,4,2024-08-27,1,0.244068294763565,0,4497.14990234375,-0.0011772019098108544,0.02648873618513825,0.20370166344443663,0.22738569936479708,0.1773138675078307,0.0023793281400121824,0,Weak_Uptrend
XGBoost,4,2024-08-28,0,0.2533520460128784,0,4506.0498046875,0.0019790094920144607,0.03223102474800155,0.22748876030005172,0.22661936893697332,0.17743108669870397,-0.005925302246654107,0,Weak_Uptrend
XGBoost,4,2024-08-29,1,0.2592674493789673,0,4511.7998046875,0.0012760622383751752,0.028834575168543708,0.21846677172896678,0.22636250396627436,0.17753351738609285,0.0013077687132461158,0,Weak_Uptrend
XGBoost,4,2024-08-30,0,0.2506621479988098,0,4553.75,0.009297884908128218,0.035625730336966255,0.22577388963660838,0.22802547439988935,0.17763594807348176,-0.006840494612956327,0,Weak_Uptrend
XGBoost,4,2024-09-02,0,0.2566772103309631,0,4521.0498046875,-0.0071809377573428534,0.0555678805648081,0.20675569235172442,0.2064045031022576,0.1781712160090911,-0.0017252198105432992,0,Strong_Uptrend_HighVol
XGBoost,4,2024-09-03,0,0.3106915652751922,0,4512.35009765625,-0.0019242670191843558,0.08599181953623347,0.17803629195354453,0.1679880025313547,0.17763594807348176,-0.0014848571514830544,0,Strong_Uptrend_LowVol
XGBoost,4,2024-09-04,0,0.327718049287796,0,4479.25,-0.007335445375446947,0.07385159912336015,0.15031011085593948,0.1729041674937799,0.17753351738609285,-0.029714817805715277,0,Strong_Uptrend_LowVol
XGBoost,4,2024-09-05,0,0.327718049287796,0,4475.9501953125,-0.0007366868755930289,0.0655882077372194,0.15996326533582073,0.17307840364774932,0.17743108669870397,-0.040170306889707685,0,Strong_Uptrend_LowVol
XGBoost,4,2024-09-06,0,0.3231621384620666,0,4456.75,-0.004289635602426456,0.06811187609869274,0.1569663007229849,0.17149147202755285,0.1773138675078307,-0.03855951032843441,0,Strong_Uptrend_LowVol
XGBoost,4,2024-09-09,0,0.357803463935852,0,4449.5498046875,-0.0016155708335671148,0.05221396504581732,0.1612620980757642,0.16801602215917782,0.17719664831695744,-0.040689465818939285,0,Strong_Uptrend_LowVol
XGBoost,4,2024-09-10,0,0.3259206712245941,0,4507.85009765625,0.013102514979679958,0.0744104495320499,0.1623712881577739,0.1672103385215728,0.1770793072396081,-0.05247519057737493,0,Strong_Uptrend_LowVol
XGBoost,4,2024-09-11,0,0.3258581459522247,0,4479.35009765625,-0.006322304287540104,0.06728693198674529,0.16891743076948473,0.1705891620322392,0.17696196616225876,-0.04567629080015512,0,Strong_Uptrend_LowVol
XGBoost,4,2024-09-12,0,0.3316980302333832,0,4517.7001953125,0.008561531655298937,0.0517898132384611,0.18416295239222746,0.15478221275298418,0.17681111076163247,-0.04984841525034456,0,Strong_Uptrend_LowVol
XGBoost,4,2024-09-13,0,0.3316980302333832,0,4522.60009765625,0.0010846010429894637,0.024127964511552857,0.18962573473536692,0.12183137943822342,0.17666025536100616,-0.04729578068478779,0,Weak_Uptrend
XGBoost,4,2024-09-16,0,0.3296115696430206,0,4513.25,-0.002067416409665679,0.005178173719376344,0.19169582150637,0.10749310193459781,0.17658883053211874,-0.054229213981055735,0,Weak_Uptrend
XGBoost,4,2024-09-17,0,0.3421419560909271,0,4505.64990234375,-0.0016839522863235645,-0.0039019970167485374,0.182352529644755,0.10428583008430178,0.17651740570323132,-0.048328211183636505,0,Weak_Downtrend
