Date,Strategy,Equity,Daily_Return,Position,Probability,Regime
2025-07-28,Baseline_XGB_0.70,87403.92122439477,-0.019654399066629358,1.0,0.9403479695320128,Strong_Downtrend_LowVol
2025-07-29,Baseline_XGB_0.70,86681.28477115178,-0.008267780702741478,1.0,0.9349173903465272,Strong_Downtrend_LowVol
2025-07-30,Baseline_XGB_0.70,86606.85329975831,-0.0008586798360220582,1.0,0.9206264019012452,Strong_Downtrend_LowVol
2025-07-31,Baseline_XGB_0.70,86085.81028439729,-0.006016186889478803,1.0,0.9206264019012452,Strong_Downtrend_LowVol
2025-08-01,Baseline_XGB_0.70,85037.52289303727,-0.01217723789666203,1.0,0.9125279784202576,Strong_Downtrend_LowVol
2025-08-04,Baseline_XGB_0.70,87251.94624348548,0.02604054392827959,1.0,0.9366900324821472,Strong_Downtrend_LowVol
2025-08-05,Baseline_XGB_0.70,86926.29530536846,-0.003732305720817508,1.0,0.941231369972229,Strong_Downtrend_LowVol
2025-08-06,Baseline_XGB_0.70,85946.24559663284,-0.01127449070839548,1.0,0.941231369972229,Strong_Downtrend_LowVol
2025-08-07,Baseline_XGB_0.70,86402.1553956229,0.005304592374282047,1.0,0.987498104572296,Strong_Downtrend_LowVol
2025-08-08,Baseline_XGB_0.70,86073.39999125243,-0.003804944481594852,1.0,0.9880080223083496,Strong_Downtrend_LowVol
2025-08-11,Baseline_XGB_0.70,86209.86778463234,0.0015854816167804042,1.0,0.9852622151374816,Strong_Downtrend_LowVol
2025-08-12,Baseline_XGB_0.70,86042.38561619367,-0.0019427261953013364,1.0,0.9842133522033693,Strong_Downtrend_LowVol
2025-08-13,Baseline_XGB_0.70,86067.19863061447,0.0002883812930465357,1.0,0.9842133522033693,Strong_Downtrend_LowVol
2025-08-14,Baseline_XGB_0.70,85636.1018460452,-0.005008839504809015,1.0,0.9842133522033693,Strong_Downtrend_LowVol
2025-08-18,Baseline_XGB_0.70,85291.83925414535,-0.004020063787101846,1.0,0.9858249425888062,Strong_Downtrend_LowVol
2025-08-19,Baseline_XGB_0.70,85446.91112943918,0.001818132621478119,1.0,0.986070454120636,Strong_Downtrend_LowVol
2025-08-20,Baseline_XGB_0.70,88002.5001774027,0.02990850124578759,1.0,0.9712477922439576,Strong_Downtrend_LowVol
2025-08-21,Baseline_XGB_0.70,88126.55767763777,0.001409704269594414,1.0,0.9708141684532166,Strong_Downtrend_LowVol
2025-08-22,Baseline_XGB_0.70,86619.25602103425,-0.01710382995007198,1.0,0.9770167469978333,Strong_Downtrend_LowVol
2025-08-25,Baseline_XGB_0.70,89305.10392987082,0.031007515328743462,1.0,0.9736238718032836,Strong_Downtrend_LowVol
2025-08-26,Baseline_XGB_0.70,89819.93801272496,0.00576488980135359,1.0,0.971051812171936,Strong_Downtrend_LowVol
2025-08-28,Baseline_XGB_0.70,87850.52519649341,-0.021926232190814243,1.0,0.9713123440742492,Strong_Downtrend_LowVol
2025-08-29,Baseline_XGB_0.70,87571.39582096454,-0.0031773216483858002,1.0,0.9690134525299072,Strong_Downtrend_LowVol
2025-09-01,Baseline_XGB_0.70,88436.70142822541,0.009881144398222741,1.0,0.9727265238761902,Strong_Downtrend_LowVol
2025-09-02,Baseline_XGB_0.70,88402.58258691321,-0.0003857995691968208,1.0,0.9643352627754213,Strong_Downtrend_LowVol
2025-09-03,Baseline_XGB_0.70,87968.3813360905,-0.0049116353630938026,1.0,0.9579710960388184,Strong_Downtrend_LowVol
2025-09-04,Baseline_XGB_0.70,87912.55394661095,-0.0006346301777028218,1.0,0.9535793662071228,Strong_Downtrend_LowVol
2025-09-05,Baseline_XGB_0.70,86442.47559757308,-0.016722052574318802,1.0,0.9670253992080688,Strong_Downtrend_LowVol
2025-09-08,Baseline_XGB_0.70,85533.7528939775,-0.010512455795760434,1.0,0.9691795706748962,Strong_Downtrend_LowVol
2025-09-09,Baseline_XGB_0.70,86476.58686701638,0.01102294639412782,1.0,0.9670253992080688,Strong_Downtrend_LowVol
2025-09-10,Baseline_XGB_0.70,88356.06102432506,0.021733907701502186,1.0,0.9643352627754213,Weak_Downtrend
2025-09-11,Baseline_XGB_0.70,88796.46363578574,0.004984407479860842,1.0,0.9641016721725464,Weak_Downtrend
2025-09-12,Baseline_XGB_0.70,89081.79437195258,0.0032133119325243875,1.0,0.9628449082374572,Weak_Downtrend
