Fold,Model,Train_Rows,Test_Rows,Test_Start,Test_End,News_Coverage,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,Strategy_Return,Max_Drawdown,Sharpe
4,Logistic_Technical,545,60,2026-03-18,2026-06-17,0.45,0.45,0.5,0.45,1.0,0.6206896551724138,0.46464646464646464,-0.089233056567945,-0.18191913516328218,-1.0427911062585409
4,RandomForest_Technical,545,60,2026-03-18,2026-06-17,0.45,0.55,0.5,0.0,0.0,0.0,0.5286195286195285,0.07022215692365652,-0.10168080241329847,1.0427911062585409
4,XGBoost_Technical,545,60,2026-03-18,2026-06-17,0.45,0.5666666666666667,0.531986531986532,0.5555555555555556,0.18518518518518517,0.2777777777777778,0.5634118967452301,0.16819233829055324,-0.10196466001092053,2.191926851321327
4,Logistic_Tech_News,545,60,2026-03-18,2026-06-17,0.45,0.45,0.5,0.45,1.0,0.6206896551724138,0.48933782267115594,-0.089233056567945,-0.18191913516328218,-1.0427911062585409
4,RandomForest_Tech_News,545,60,2026-03-18,2026-06-17,0.45,0.55,0.5,0.0,0.0,0.0,0.4534231200897868,0.07022215692365652,-0.10168080241329847,1.0427911062585409
4,XGBoost_Tech_News,545,60,2026-03-18,2026-06-17,0.45,0.5166666666666667,0.4797979797979798,0.375,0.1111111111111111,0.17142857142857143,0.5140291806958474,0.09943066009303059,-0.14715231359336023,1.3926288389428843
5,Logistic_Technical,605,46,2026-06-18,2026-08-21,0.6521739130434783,0.6086956521739131,0.6086956521739131,0.631578947368421,0.5217391304347826,0.5714285714285714,0.5652173913043477,0.23342717336270224,-0.0704121802951726,3.6094652675076326
5,RandomForest_Technical,605,46,2026-06-18,2026-08-21,0.6521739130434783,0.5,0.5,0.5,0.34782608695652173,0.41025641025641024,0.4896030245746692,-0.03267385550675772,-0.12928642223105946,-0.3540529725129707
5,XGBoost_Technical,605,46,2026-06-18,2026-08-21,0.6521739130434783,0.5,0.5,0.5,0.5217391304347826,0.5106382978723404,0.502835538752363,-0.005022871333647316,-0.09021733164554091,0.09519489801862359
5,Logistic_Tech_News,605,46,2026-06-18,2026-08-21,0.6521739130434783,0.6086956521739131,0.6086956521739131,0.631578947368421,0.5217391304347826,0.5714285714285714,0.5727788279773156,0.23342717336270224,-0.0704121802951726,3.6094652675076326
5,RandomForest_Tech_News,605,46,2026-06-18,2026-08-21,0.6521739130434783,0.5,0.5,0.5,0.43478260869565216,0.46511627906976744,0.4990548204158791,-0.07407813812931663,-0.1341650977726908,-1.053568143158815
5,XGBoost_Tech_News,605,46,2026-06-18,2026-08-21,0.6521739130434783,0.4782608695652174,0.4782608695652174,0.48,0.5217391304347826,0.5,0.5406427221172023,-0.01842485993214893,-0.09021733164554047,-0.12106253182408962
